mlfb,fw,status,note
6ES7 134-4JB00-0AB0,,discontinued 09/08,11.1 AI | 2 AI I TC
6ES7 134-4JB01-0AB0,,discontinued 10/16,11.1 AI | 2 AI I TC
6ES7 134-4JB50-0AB0,,discontinued 09/08,11.1 AI | 2 AI I RTD
6ES7 134-4JB51-0AB0,,listed,11.1 AI | 2 AI I RTD
6ES7 134-4LB00-0AB0,,discontinued 06/06,11.1 AI | 2 AI U
6ES7 134-4LB02-0AB0,,listed,11.1 AI | 2 AI U
6ES7 134-4MB00-0AB0,,discontinued 06/06,11.1 AI | 2 AI I
6ES7 134-4MB02-0AB0,,listed,11.1 AI | 2 AI I
6ES7 134-4NB00-0AB0,,discontinued 09/05,11.1 AI | 2 AI I TC High Feature
6ES7 134-4NB01-0AB0,,listed,11.1 AI | 2 AI I TC High Feature
6ES7 134-4NB50-0AB0,,discontinued 11/05,11.1 AI | 2 AI I RTD High Feature
6ES7 134-4NB51-0AB0,,listed,11.1 AI | 2 AI I RTD High Feature
6ES7 135-4FB00-0AB0,,discontinued 05/05,11.2 AO | 2 AO U
6ES7 135-4FB01-0AB0,,listed,11.2 AO | 2 AO U
6ES7 135-4GB00-0AB0,,discontinued 05/05,11.2 AO | 2 AO I
6ES7 135-4GB01-0AB0,,listed,11.2 AO | 2 AO I
6ES7 135-4LB00-0AB0,,discontinued 08/03,11.2 AO | 2 AO U
6ES7 135-4LB01-0AB0,,discontinued 06/06,11.2 AO | 2 AO U
6ES7 135-4LB02-0AB0,,listed,11.2 AO | 2 AO U
6ES7 135-4MB00-0AB0,,discontinued 08/03,11.2 AO | 2 AO I
6ES7 135-4MB01-0AB0,,discontinued 06/06,11.2 AO | 2 AO I
6ES7 135-4MB02-0AB0,,listed,11.2 AO | 2 AO I
6ES7 131-4BB00-0AA0,,discontinued 04/05,11.3 DI | 2 DI DC24V
6ES7 131-4BB01-0AA0,,listed,11.3 DI | 2 DI DC24V
6ES7 131-4BD00-0AA0,,discontinued 04/05,11.3 DI | 4 DI DC24V
6ES7 131-4BD01-0AA0,,listed,11.3 DI | 4 DI DC24V
6ES7 131-4BB00-0AB0,,discontinued 06/05,11.3 DI | 2 DI DC24V High Feature
6ES7 131-4BB01-0AB0,,listed,11.3 DI | 2 DI DC24V High Feature
6ES7 131-4BD00-0AB0,,discontinued 05/05,11.3 DI | 4 DI DC24V High Feature
6ES7 131-4BD01-0AB0,,listed,11.3 DI | 4 DI DC24V High Feature
6ES7 131-4BF00-0AA0,,listed,11.3 DI | 8 DI DC24V High Speed
6ES7 131-4CD00-0AB0,,discontinued 08/10,11.3 DI | 4 DI
6ES7 131-4CD02-0AB0,,listed,11.3 DI | 4 DI UC 24..48V HF
6ES7 131-4EB00-0AB0,,listed,11.3 DI | 2 DI AC 120V
6ES7 131-4FB00-0AB0,,listed,11.3 DI | 2 DI AC 230V
6ES7 131-4RD00-0AB0,,discontinued 10/10,11.3 DI | 4 DI NAMUR
6ES7 131-4RD02-0AB0,,listed,11.3 DI | 4 DI NAMUR
6ES7 138-4FA00-0AB0,,discontinued 06/04,11.3 DI | 8 DI DC 24V
6ES7 138-4FA01-0AB0,,discontinued 10/05,11.3 DI | 8 DI DC 24V
6ES7 138-4FA02-0AB0,,discontinued 01/07,11.3 DI | 8 DI DC 24V
6ES7 138-4FA03-0AB0,,discontinued 10/08,11.3 DI | 8 DI DC 24V
6ES7 138-4FA04-0AB0,,discontinued 09/15,11.3 DI | 8 DI DC 24V
6ES7 138-4FA05-0AB0,,listed,11.3 DI | 8 DI DC 24V
